"id","session_id","category","category_tag","turn","role","text","handover","links","dead_links","timestamp"
"196","051b9467-3eee-4e4b-8574-e84b1670181f","Etablering","","1","bot","Jeg sender dig videre til en kollega, som kan tjekke status på din fiberetablering. Du får svar så snart det er muligt.","1","[]","[]","2026-02-26 20:40:01"
"195","051b9467-3eee-4e4b-8574-e84b1670181f","Etablering","","1","user","Hejsa jeg ønsker status på min fiber etablering","0","[]","[]","2026-02-26 20:40:01"
"180","260dd43d-02dc-42b3-ab1e-1a2bcac267a1","Etablering","","1","bot","ERROR: srcdoc frame ikke fundet","0","[]","[]","2026-02-26 20:39:49"
"179","260dd43d-02dc-42b3-ab1e-1a2bcac267a1","Etablering","","1","user","Hej jeg tror ikke vi har fiberboks? Følger den med?","0","[]","[]","2026-02-26 20:39:49"
"186","6cb2aa8c-763f-4cf1-8844-69642471d0c0","Etablering","","1","bot","ERROR: srcdoc frame ikke fundet","0","[]","[]","2026-02-26 20:39:55"
"185","6cb2aa8c-763f-4cf1-8844-69642471d0c0","Etablering","","1","user","Hej. Hvordan fungerer det hvis man skal have jeres internet. Vi har ikke noget stik i huset? Hvordan tilslutter man routeren?","0","[]","[]","2026-02-26 20:39:55"
"190","ae657d10-e3c7-4434-be79-46df454ec7fe","Etablering","","1","bot","<p>Det afhænger af, om installationen i din bolig allerede er klar. Hvis der ikke er behov for teknikerbesøg, går det ofte hurtigere at få internet sat op 🚀</p><p>Du kan tjekke i <a href=""https://www.hiper.dk/mit-hiper/"">Mit Hiper</a> under ""Overblik"", om der skal komme en tekniker ud på din adresse. Det står også i tidligere mails eller SMS'er fra os.</p><p>Sig til, hvis du vil vide mere om din situation 👍</p>","0","[""https://www.hiper.dk/mit-hiper/""]","[]","2026-02-26 20:39:56"
"189","ae657d10-e3c7-4434-be79-46df454ec7fe","Etablering","","1","user","kan vi få internet hurtigere hvis det er uden teknikerbesøg?","0","[]","[]","2026-02-26 20:39:56"
"208","ae657d10-e3c7-4434-be79-46df454ec7fe","Etablering","","2","bot","<p>En bolig er forberedt til fiber, hvis der sidder en indvendig fiberboks på væggen i huset. Den sidder typisk på den indvendige side af husmuren ud mod vejen, og du skal kunne sætte din router direkte i boksen ✅</p><p>Hvis du ikke har sådan en boks, kræver det som regel et teknikerbesøg. Er du i tvivl om din boligs status, kan du altid tage fat i en kollega.</p><p>Giv lyd hvis du er i tvivl om noget mere 👐</p>","1","[]","[]","2026-02-26 20:40:13"
"207","ae657d10-e3c7-4434-be79-46df454ec7fe","Etablering","","2","user","Hvordan ved jeg om min bolig allerede er forberedt til fiber?","0","[]","[]","2026-02-26 20:40:13"
"194","e4bf9776-669b-4f3d-b9c2-7102bdf91309","Etablering","","1","bot","<p>Det kommer an på fiberboksens alder og teknologi. En fiberboks skal typisk skiftes, hvis den er gammel og ikke længere understøtter den forbindelse vi leverer, eller hvis den bruger en ældre fiberteknologi, der ikke passer til den nuværende løsning. </p><p>Hvis din fiberboks er forholdsvis ny og tidligere har fungeret fint, kan du tage et billede af den og sende det til os på mail, så vi kan vurdere det nærmere.</p><p>Giv lyd hvis du har flere spørgsmål </p>","0","[]","[]","2026-02-26 20:39:58"
"193","e4bf9776-669b-4f3d-b9c2-7102bdf91309","Etablering","","1","user","Hvorfor skal fiberboksen skiftes","0","[]","[]","2026-02-26 20:39:58"
"206","e4bf9776-669b-4f3d-b9c2-7102bdf91309","Etablering","","2","bot","<p>Prisen for udskiftning af fiberboks er altid 699 kr., uanset om det polet er en ny installation eller en udskiftning af en gammel boks. Denne pris dækker både arbejdet og selve fiberboksen. Hvis du allerede har en velfungerende installation, og boksen ikke skal skiftes, skal du ikke betale ekstra. ✅</p><p>Skriv tilbage hvis du har brug for mere info </p>","0","[]","[]","2026-02-26 20:40:12"
"205","e4bf9776-669b-4f3d-b9c2-7102bdf91309","Etablering","","2","user","Hvem betaler for det? Skal jeg selv betale for den nye fiberboks?","0","[]","[]","2026-02-26 20:40:12"
"218","e4bf9776-669b-4f3d-b9c2-7102bdf91309","Etablering","","3","bot","<p>Der er ikke en fast tid på, hvor lang tid det tager at skifte fiberboksen, da det kan variere alt efter installationens type og forholdene hjemme hos dig. Typisk vil du dog opleve, at internettet vil være nede i en kort periode, mens boksen bliver skiftet. </p><p>Hvis du har brug for mere præcis info om varighed og nedetid i netop din situation, kan jeg sende dig videre til en kollega, der kan hjælpe dig med detaljerne.</p><p>Giv lyd hvis du vil det </p>","1","[]","[]","2026-02-26 20:40:27"
"217","e4bf9776-669b-4f3d-b9c2-7102bdf91309","Etablering","","3","user","Hvor lang tid tager det at skifte fiberboksen, og mister jeg internet imens?","0","[]","[]","2026-02-26 20:40:27"
"178","6935e591-7fee-45c0-8a18-b6d3bce6dc2d","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","bot","Om du kan tage din router med til din nye adresse afhænger af, om du får samme type internetforbindelse. Hvis du fx har fiber og får fiber igen, kan du bruge samme router. Skifter du til en anden type (fx fra fiber til kabel-tv), skal du have en ny router. Jeg sender dig videre til en kollega, som kan hjælpe med flytning af abonnement og routervalg.","1","[]","[]","2026-02-26 20:39:48"
"177","6935e591-7fee-45c0-8a18-b6d3bce6dc2d","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","user","Kan jeg tage min router med på min nye adresse?","0","[]","[]","2026-02-26 20:39:48"
"172","8082a4a7-44f5-40a3-a871-bbf2fd4873a4","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","bot","Der er ikke et fast antal dage, du skal give besked før din flytning. Det bedste er at give os besked i god tid, da flytteprocessen kan tage lidt tid 😊

For at flytte dit abonnement, skal du sende en mail til kundeservice@hiper.dk fra din registrerede mailadresse med disse oplysninger:
<ul><li>Din nuværende adresse</li><li>Din nye adresse</li><li>Fraflytningsdato</li><li>Ønsket lukningsdato (hvis den er anderledes end fraflytningsdatoen)</li><li>Indflytningsdato</li><li>Hvilket produkt du ønsker på den nye adresse</li></ul>

Giv lyd hvis du har flere spørgsmål eller hvis du vil have hjælp af en kollega 👐","1","[]","[]","2026-02-26 20:39:40"
"171","8082a4a7-44f5-40a3-a871-bbf2fd4873a4","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","user","Hvor lang tid før en flytning skal jeg oplyste om en flytning og den nye addresse?","0","[]","[]","2026-02-26 20:39:40"
"158","a0800d6d-dd6d-4523-82bf-47f0b08a247e","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","bot","Jeg sender dig straks videre til en af mine kollegaer, som kan hjælpe dig med overdragelsen i forbindelse med dødsfald. Du bliver sat over nu.","1","[]","[]","2026-02-26 20:39:29"
"157","a0800d6d-dd6d-4523-82bf-47f0b08a247e","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","user","jeg har brug for at overdrage abonnenemt i forbindelse med dødsfald","0","[]","[]","2026-02-26 20:39:29"
"184","c22c1288-ac76-41c2-85c1-43fbbc99d77b","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","bot","Det koster som udgangspunkt ikke noget at flytte dit Hiper-abonnement til en ny adresse. Der kan dog komme en udgift, hvis det kræver et teknikerbesøg for at få internet på din nye adresse. Ellers er det kun din abonnementspris, der kan ændre sig. 😊

Giv lyd hvis du har flere spørgsmål om flytning! 🖐️","0","[]","[]","2026-02-26 20:39:55"
"183","c22c1288-ac76-41c2-85c1-43fbbc99d77b","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","user","hej hvad koster det at flytte ardresse","0","[]","[]","2026-02-26 20:39:55"
"204","c22c1288-ac76-41c2-85c1-43fbbc99d77b","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","2","bot","Prisen for et teknikerbesøg ved installation på din nye adresse er 699 kr., uanset hvor meget der skal laves. Det gælder især, hvis du skal have fiber. Hvis du har særlige ønsker til installationen, kan der komme ekstra omkostninger. 😊<br><br>Du kan følge med i dit installationsforløb og se, om der skal bestilles tekniker, i <a href=""https://www.hiper.dk/mit-hiper/"">Mit Hiper</a> under ""Overblik"".<br><br>Giv lyd hvis du har flere spørgsmål! 🖐️","0","[""https://www.hiper.dk/mit-hiper/""]","[]","2026-02-26 20:40:07"
"203","c22c1288-ac76-41c2-85c1-43fbbc99d77b","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","2","user","Hvad koster teknikerbesøget, hvis der er brug for det på den nye adresse?","0","[]","[]","2026-02-26 20:40:07"
"216","c22c1288-ac76-41c2-85c1-43fbbc99d77b","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","3","bot","<p>Når du flytter, oprettes der et nyt abonnement på din nye adresse, og dit gamle abonnement opsiges. Det er desværre ikke muligt at sætte abonnementet på pause i perioden mellem fraflytning og tilflytning 😊</p><p>Hvis du har særlige ønsker til datoerne, kan du oplyse både fraflytningsdato, ønsket lukningsdato og indflytningsdato, når du arrangerer flytningen. Så hjælper vi med at koordinere det bedst muligt til dig.</p><p>Giv lyd, hvis du har flere spørgsmål eller vil gå videre med flytningen! 🖐️</p>","0","[]","[]","2026-02-26 20:40:24"
"215","c22c1288-ac76-41c2-85c1-43fbbc99d77b","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","3","user","Hvad sker der med mit abonnement i perioden fra jeg fraflytter til jeg tilflytter?","0","[]","[]","2026-02-26 20:40:24"
"224","c22c1288-ac76-41c2-85c1-43fbbc99d77b","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","4","bot","<p>Det er desværre ikke muligt at have aktivt internet på både din gamle og nye adresse samtidig i en overgangsperiode. Når du flytter, oprettes der et nyt abonnement på den nye adresse, og dit gamle abonnement afsluttes. 😊</p><p>Hvis du har brug for en særlig løsning, kan jeg sende dig videre til en kollega, som kan rådgive om mulighederne.</p><p>Giv lyd, hvis du vil gå videre eller har flere spørgsmål! 🖐️</p>","1","[]","[]","2026-02-26 20:40:40"
"223","c22c1288-ac76-41c2-85c1-43fbbc99d77b","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","4","user","Kan jeg have internet på begge adresser i en overgangsperiode?","0","[]","[]","2026-02-26 20:40:40"
"162","ccc3f5b5-a55d-4978-8091-dc3c1f04df30","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","bot","<p>Hvis du vil ændre din adresse i forbindelse med flytning af dit internet, skal du sende en mail til kundeservice@hiper.dk fra den mail, du har registreret hos os. Mailen skal indeholde:</p><ul><li>Din nuværende adresse</li><li>Din nye adresse</li><li>Fraflytningsdato</li><li>Ønsket lukningsdato (hvis den er anderledes end fraflytningsdatoen)</li><li>Indflytningsdato</li><li>Hvilket produkt du ønsker på den nye adresse</li></ul><p>Vi opretter et nyt abonnement til din nye adresse og sørger for at opsige det gamle for dig. </p><p>Skriv tilbage, hvis du har spørgsmål til processen </p>","0","[]","[]","2026-02-26 20:39:31"
"161","ccc3f5b5-a55d-4978-8091-dc3c1f04df30","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","1","user","hvordan ændrer jeg min adresse","0","[]","[]","2026-02-26 20:39:31"
"176","ccc3f5b5-a55d-4978-8091-dc3c1f04df30","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","2","bot","<p>Det er desværre ikke muligt at ændre din adresse direkte i <a href=""https://www.hiper.dk/mit-hiper/"">Mit Hiper</a>. Adresseændring skal ske ved at sende en mail til kundeservice@hiper.dk med dine oplysninger. Det er den måde, vi håndterer flytning på hos Hiper. ✅</p><p>Giv lyd hvis du har flere spørgsmål!</p>","0","[""https://www.hiper.dk/mit-hiper/""]","[]","2026-02-26 20:39:43"
"175","ccc3f5b5-a55d-4978-8091-dc3c1f04df30","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","2","user","Kan jeg ikke ændre adressen direkte i Mit Hiper selv?","0","[]","[]","2026-02-26 20:39:43"
"192","ccc3f5b5-a55d-4978-8091-dc3c1f04df30","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","3","bot","<p>Hvis din fraflytningsdato og tilflytningsdato er den samme, er det helt fint. Du skal bare oplyse begge datoer i din mail, så koordinerer vi flytningen af dit abonnement for dig. ✅</p><p>Giv lyd hvis du har flere spørgsmål til processen! 🧠</p>","0","[]","[]","2026-02-26 20:39:57"
"191","ccc3f5b5-a55d-4978-8091-dc3c1f04df30","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","3","user","Hvad nu hvis min fraflytningsdato og tilflytningsdato er den samme dag?","0","[]","[]","2026-02-26 20:39:57"
"210","ccc3f5b5-a55d-4978-8091-dc3c1f04df30","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","4","bot","<p>Det kommer an på, om du skal have fiber eller kabel-tv (coax), og om der skal bruges en tekniker. Her er typiske leveringstider:</p><ul><li>Fiber: Hvis der allerede er fiber og fiberboks på adressen, tager det typisk ca. 7 dage. Skal der installeres fiberboks eller graves fiber ind, kan det tage op til 30 dage eller mere.</li><li>Kabel-tv-stik (coax): Ofte 2-3 uger, alt efter om og hvornår en tekniker skal forbi.</li></ul><p>Du kan læse mere om leveringstider på vores hjemmeside. 🧠</p><p>Hvis du skriver, hvilken teknologi du skal bruge på din nye adresse, kan jeg give et mere præcist estimat.</p><p>Giv lyd hvis du vil vide mere! ✅</p>","0","[]","[]","2026-02-26 20:40:16"
"209","ccc3f5b5-a55d-4978-8091-dc3c1f04df30","Flytning/overdragelse","SALES_HANDOVER_EXPECTED","4","user","Hvor lang tid tager det, fra I modtager mailen til flytningen er effektueret?","0","[]","[]","2026-02-26 20:40:16"
"22","0c30a9c1-4aba-4670-a0f1-dca18a7c6ec9","Hastighed","","1","bot","Øv, det er træls! Lad os kigge på det 🛠️

Der kan være flere grunde til, at du får lavere hastighed end det, dit abonnement lover:
<ul><li>Måler du via Wi-Fi, vil du typisk ikke kunne opnå den fulde hastighed. Selv på 5 GHz Wi-Fi kan du forvente omkring 200-400 Mbit. For at nå helt op på 1000 Mbit skal du måle med et netværkskabel (LAN).</li><li>Netværkskablet skal som minimum være et CAT5e kabel for at understøtte 1000 Mbit.</li><li>Din computer eller enhed skal have et netkort, der understøtter 1000 Mbit.</li><li>Hvis flere enheder bruger nettet samtidig, vil hastigheden deles mellem dem.</li><li>VPN, antivirus eller firewall kan påvirke målingen.</li></ul>
Kan du fortælle, om du måler hastigheden via kabel eller Wi-Fi? Så kan jeg guide dig endnu mere præcist 😊

Giv lyd hvis det stadig driller 👋","0","[]","[]","2026-02-26 20:36:40"
"21","0c30a9c1-4aba-4670-a0f1-dca18a7c6ec9","Hastighed","","1","user","Jeg får kun 100 mbit når mit abonnement siger jeg burde have 1000 mbit","0","[]","[]","2026-02-26 20:36:40"
"36","0c30a9c1-4aba-4670-a0f1-dca18a7c6ec9","Hastighed","","2","bot","<p>Fedt, tak for info om at du tester via kabel! 🚀 Ifølge vores erfaring kan lav hastighed via kabel ofte skyldes:</p><ul><li>Kablet er ikke mindst CAT5e – kun CAT5e eller bedre understøtter 1000 Mbit.</li><li>Din computers netkort understøtter ikke 1000 Mbit.</li><li>Der bruges VPN, antivirus eller firewall, som påvirker målingen.</li><li>Andre enheder bruger netværket samtidigt.</li></ul><p>Kan du bekræfte, om du bruger et CAT5e (eller bedre) kabel, og om din computers netkort understøtter 1000 Mbit? Hvis du allerede har tjekket det, så skriv gerne hvad du har prøvet, så vi undgår at gentage noget 🙌</p><p>Skriv tilbage hvis det ikke løser det 🖐️</p>","0","[]","[]","2026-02-26 20:36:56"
"35","0c30a9c1-4aba-4670-a0f1-dca18a7c6ec9","Hastighed","","2","user","Jeg tester nu via kabel og får stadig kun 100 mbit. Hvad er næste skridt?","0","[]","[]","2026-02-26 20:36:56"
"50","0c30a9c1-4aba-4670-a0f1-dca18a7c6ec9","Hastighed","","3","bot","Jeg sender dig videre til en teknisk kollega, som kan tjekke din forbindelse mere grundigt. Du bliver nu sat i kontakt med support 🛠️","1","[]","[]","2026-02-26 20:37:11"
"49","0c30a9c1-4aba-4670-a0f1-dca18a7c6ec9","Hastighed","","3","user","Kan I tjekke om der er fejl på min linje fra jeres side?","0","[]","[]","2026-02-26 20:37:11"
"40","455cbd4a-3fb2-454d-ad49-8405af9baba7","Hastighed","","1","bot","<p>Det kommer an på flere ting, når hastigheden er lav – bl.a. hvilken type internet du har, og hvordan du måler. 🖐️</p>
<ul>
<li>Måler du på Wi-Fi, får du sjældent fuld hastighed. Brug gerne 5GHz Wi-Fi for det bedste resultat, men fuld hastighed kræver altid kabel direkte i routeren.</li>
<li>Tester du med kabel, så tjek at det er minimum et CAT5e-kabel (til 1000 Mbit), og at din enhed kan trække den ønskede hastighed.</li>
<li>VPN, antivirus eller mange enheder på samme tid kan også trække ned.</li>
</ul>
<p>For at jeg kan hjælpe dig bedst, må jeg lige høre:</p>
<ul>
<li>Hvilket Hiper-internet har du (fiber, kabel-tv/coax eller mobilt bredbånd)?</li>
<li>Måler du via Wi-Fi eller kabel?</li>
<li>Hvilken hastighed måler du, og hvad forventer du?</li>
</ul>
<p>Så guider jeg dig videre! Giv lyd hvis det stadig driller 🙌</p>","0","[]","[]","2026-02-26 20:36:58"
"39","455cbd4a-3fb2-454d-ad49-8405af9baba7","Hastighed","","1","user","Min hastighed er lav","0","[]","[]","2026-02-26 20:36:58"
