"id","session_id","category","category_tag","turn","role","text","handover","links","dead_links","timestamp"
"230","191759d0-1aac-4485-8d8c-feeddbacc322","Etablering","","1","bot","<p>Det kommer an på hvilken type internet du vælger – fx fiber eller mobilt bredbånd. Hvis der ikke er stik i huset, skal der typisk en tekniker eller entreprenør til for at etablere forbindelsen, afhængigt af om installationen allerede er forberedt.</p><p>En kollega kan hjælpe dig med at finde den bedste løsning og guide dig i processen.</p><p>Jeg sender dig videre til en kollega, så du kan få konkret hjælp til opsætning og installation.</p>","1","[]","[]","2026-02-26 14:46:25"
"229","191759d0-1aac-4485-8d8c-feeddbacc322","Etablering","","1","user","Hej. Hvordan fungerer det hvis man skal have jeres internet. Vi har ikke noget stik i huset? Hvordan tilslutter man routeren?","0","[]","[]","2026-02-26 14:46:25"
"222","23641bd2-5832-4402-aed5-66b19820b6d0","Etablering","","1","bot","<p>Du kan følge status på din fiberetablering ved at logge ind på <a href=""https://www.hiper.dk/mit-hiper/"">Mit Hiper</a> under ""Overblik"". Her vises tidslinjen for installationen, og om der skal komme en tekniker eller entreprenør forbi 😊</p><p>Tjek også gerne tidligere mails eller SMS'er fra Hiper for info om installation og datoer.</p><p>Hvis du har brug for mere præcis status, må du meget gerne skrive hvilken adresse eller udbyder det drejer sig om.</p><p>Giv lyd hvis det stadig driller 🫶</p>","0","[""https://www.hiper.dk/mit-hiper/""]","[]","2026-02-26 14:46:14"
"221","23641bd2-5832-4402-aed5-66b19820b6d0","Etablering","","1","user","Hejsa jeg ønsker status på min fiber etablering","0","[]","[]","2026-02-26 14:46:14"
"234","23641bd2-5832-4402-aed5-66b19820b6d0","Etablering","","2","bot","Jeg kan godt forstå, at du gerne vil have en opdatering, når du har ventet i 2 uger. Jeg sender dig videre til en kollega, som kan tjekke den præcise status for din fiberetablering.","1","[]","[]","2026-02-26 14:46:29"
"233","23641bd2-5832-4402-aed5-66b19820b6d0","Etablering","","2","user","Okay men hvornår hører jeg noget? Jeg har ventet i 2 uger allerede","0","[]","[]","2026-02-26 14:46:29"
"212","309c9312-c10a-42d3-98dd-65e3f146e360","Etablering","","1","bot","<p>Det kommer an på, om installationen i din bolig allerede er klar. Hvis det er tilfældet, kan du ofte få internet hurtigt uden at vente på teknikerbesøg </p><p>Du kan tjekke dit installationsforløb i <a href=""https://www.hiper.dk/mit-hiper/"">Mit Hiper</a>, eller se tidligere mails og SMS'er fra os for info om teknikerbesøg.</p><p>Giv lyd hvis det stadig driller </p>","0","[""https://www.hiper.dk/mit-hiper/""]","[]","2026-02-26 14:46:02"
"211","309c9312-c10a-42d3-98dd-65e3f146e360","Etablering","","1","user","kan vi få internet hurtigere hvis det er uden teknikerbesøg?","0","[]","[]","2026-02-26 14:46:02"
"224","309c9312-c10a-42d3-98dd-65e3f146e360","Etablering","","2","bot","<p>Det nemmeste tegn på, at din bolig er fiberforberedt, er hvis der allerede sidder en fiberboks (et lille vægmonteret stik) indenfor – typisk nær indgangen eller i teknikskabet. Hvis du ikke kan finde en fiberboks, skal der som regel både entreprenør og tekniker forbi, før du kan få fiber </p><p>Hvis du ved, hvem der tidligere har leveret internet i boligen, må du meget gerne skrive det – det kan gøre det nemmere at vurdere mulighederne.</p><p>Skriv tilbage hvis det ikke løser det </p>","0","[]","[]","2026-02-26 14:46:21"
"223","309c9312-c10a-42d3-98dd-65e3f146e360","Etablering","","2","user","Hvordan ved jeg om min bolig allerede er forberedt til fiber?","0","[]","[]","2026-02-26 14:46:21"
